UDI,Product ID,Air_Temperature_K,Process_Temperature_K,Rotation_Speed_RPM,Torque_Nm,Tool_Wear_min,Failure,TWF,HDF,PWF,OSF,RNF,Temp_Diff,Tool_Wear_rate,Machine_Type_H,Machine_Type_L,Machine_Type_M
1,M14860,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,0.0,False,False,True
2,L47181,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,0.002130680304914556,False,True,False
3,L47182,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,0.003337781483456954,False,True,False
4,L47183,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,0.004884853534645126,False,True,False
5,L47184,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,0.006392040914743669,False,True,False
6,M14865,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,0.007719292828566436,False,False,True
7,L47186,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,0.008985873564907853,False,True,False
8,L47187,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,0.010478054696755274,False,True,False
9,M14868,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,0.010797833954508725,False,False,True
10,M14869,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,0.01206202638596991,False,False,True
11,H29424,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,0.013468005910209926,True,False,False
12,H29425,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,0.020379465650410645,True,False,False
13,M14872,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,0.025392064681056998,False,False,True
14,M14873,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,0.021239941882926588,False,False,True
15,L47194,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,0.019656009997046683,False,True,False
16,L47195,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,0.027237336421960818,False,True,False
17,M14876,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,0.033562140684865994,False,False,True
18,M14877,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,0.03333330969268816,False,False,True
19,H29432,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,0.03828480988911953,True,False,False
20,M14879,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,0.03370095974205898,False,False,True
21,H29434,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,0.04218178750415454,True,False,False
22,L47201,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,0.04344824589776145,False,True,False
23,M14882,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,0.04111319347679097,False,False,True
24,L47203,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,0.038680296541355776,False,True,False
25,M14884,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,0.04484302060024305,False,False,True
26,L47205,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,0.03922620138301914,False,True,False
27,L47206,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,0.04960314179686389,False,True,False
28,H29441,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,0.04251792240865687,True,False,False
29,L47208,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,0.056983977078542684,False,True,False
30,L47209,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,0.0496160368481767,False,True,False
31,M14890,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,0.0642269871344383,False,False,True
32,L47211,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,0.04949941629620896,False,True,False
33,L47212,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,0.06412962358729839,False,True,False
34,L47213,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,0.05585582230881543,False,True,False
35,M14894,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,0.060936458668082956,False,False,True
36,M14895,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,0.06749306646483026,False,False,True
37,M14896,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,0.06388357755624444,False,False,True
38,L47217,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,0.07227236117278585,False,True,False
39,H29452,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,0.07686723940011646,True,False,False
40,L47219,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,0.08222216131691755,False,True,False
41,L47220,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,0.08296616522307987,False,True,False
42,L47221,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,0.08406426603489325,False,True,False
43,M14902,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,0.0855262532702827,False,False,True
44,H29457,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,0.08746349310241028,True,False,False
45,M14904,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,0.08491842057172516,False,False,True
46,L47225,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,0.08596367631720865,False,True,False
47,M14906,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,0.07053712938842681,False,False,True
48,L47227,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,0.09379401001832863,False,True,False
49,H29462,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,0.09473677562331535,True,False,False
50,M14909,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,0.09915007142346216,False,False,True
51,L47230,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,0.049982506122857,False,True,False
52,L47231,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,0.10484446504377076,False,True,False
53,H29466,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,0.0981963271901622,True,False,False
54,L47233,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,0.0971245385785696,False,True,False
55,L47234,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,0.09107031870471986,False,True,False
56,L47235,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,0.1031745349374769,False,True,False
57,L47236,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,0.10697352269903676,False,True,False
58,L47237,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,0.10575009534032033,False,True,False
